model,room,pipeline,clip,rt60,wer,cer,rtf,infer_s,hypothesis,peak_rss_mb,peak_mps_mb,peak_cpu_pct,mean_cpu_pct,peak_gpu_pct,mean_gpu_pct
openai/small,large_office,baseline,medium,2.0,0.5319,0.2446,0.1134,2.289,"The music came here and we recall the words, the words of Shelley's practice, on whom the wandering companion dust, paving for weirdness. The dull light fell profanely upon the page where all other information began to unfold itself slowly, and to spread it wrong into a wide and timid way.",609.5,0.0,117.2,56.6,0,0.0
openai/small,large_office,baseline,large,2.0,0.5423,0.3146,0.1137,6.755,"He hoped that when he stewed the burger, turned him some carrots and grooves of potatoes, and fat mutton pieces to be labeled out in thick, ever-thou-fat sauce, studded into his belly-contagion. After early nightfall, the ill-lanned light on the air had swallowed the quarter of the brothels. Hello, where did you get the food in the wine? Number 10, fresh-nelly-flavored onion. Connected with the music, the music came in a red-and-red color. The words of Sheldon's frightened, common-blood-recompanied, paving for weirdness. The dull-light fell profanity upon the page where our other innovation began to unfold itself slowly, and spread wrong as wide and thin. A cold, lucidly diffrence raked in his soul. The chaos in which his armor extinguished itself was a cold, different knowledge of itself.",692.3,0.0,117.5,53.5,0,0.0
openai/small,large_office,rms,small,2.0,0.5455,0.3448,0.9227,4.812,"Number 10. fresh angelic ilf in front of you. Good night, Mr.",680.7,0.0,101.0,49.9,0,0.0
openai/small,large_office,rms,medium,2.0,0.5319,0.2446,0.1156,2.335,"The music came here and we recall the words, the words of Shelley's practice, on whom the wandering companion dust, paving for weirdness. The dull light fell profanely upon the page where all other information began to unfold itself slowly, and to spread it wrong into a wide and timid way.",679.9,0.0,116.0,57.0,0,0.0
openai/small,large_office,rms,large,2.0,0.5282,0.3084,0.1189,7.067,"He hoped that when he stewed the burger, turned him some carrots and grooves of potatoes, and fat mutton pieces to be labeled out in thick, ever-thou-fat sauce, studded into his belly-contagion. After early nightfall, the ill-lanned light on the air had swallowed the quarter of the brothels. Where did he go in the light? Number 10, fresh-nilly-fake-un-yew, Connected with the night, the music came in a red-and-coupled words, the words of Sheldon's frightened convulnerate companion-muscels, paving for weirdness. The dull-light fell profanity upon the page where our own other innovation began to unfold itself slowly, and to spread it wrong as wide and fatally. A cold, lucidly diffrence reigned in his soul. The chaos in which his armor extinguished itself was a cold, different knowledge of itself.",719.4,0.0,111.0,53.8,0,0.0
openai/small,lecture_hall,baseline,small,2.0,0.1818,0.1379,0.1868,0.974,"Number 10 Fresh Nelly is waiting for you. Good night, Josef.",694.7,0.0,97.1,59.4,0,0.0
openai/small,lecture_hall,baseline,medium,2.0,0.4894,0.223,0.1063,2.145,"The music came nearer and he recalled the words, the words of Shelby Stratford on the moon, wandering, and endless, pitiful weirdness. The dull light fell on a faint thing upon the page where all another equation began from fold itself slowly and to spread it wrong as wide as a tale.",707.5,0.0,103.3,55.7,0,0.0
openai/small,lecture_hall,baseline,large,2.0,0.3803,0.2142,0.1098,6.525,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat. But pieces to be laid out of thick, peppered, flour-fattened sauce. Stucked into you, his belly comes to him. After early nightfall, the old lamp's light up near there, a squall of order of the brothels. Where's your good and lie? Number 10, fresh and elegant way from you. Connect us, then. The music came nearer, and you recall the words. The words of Sheldon's fragment on the moon, wandering and panicked, pale for weariness. The dull light fell for a faint thing upon the page, where all another equation began to unfold itself slowly, and to spread it wrong as wide like tail. A cold, lucid indifference, great in its soul. The chaos in which his monitoring exchange itself is a wholly different knowledge of itself.",745.3,0.0,102.7,53.3,0,0.0
openai/small,lecture_hall,rms,small,2.0,0.1818,0.1379,0.1914,0.998,"Number 10 Fresh Nelly is waiting for you. Good night, Josef.",744.6,0.0,104.2,59.5,0,0.0
openai/small,lecture_hall,rms,medium,2.0,0.4681,0.223,0.1039,2.098,"The music came nearer and he recalled the words, the words of Shelby Stratford on the moon, wandering, and endless, pitiful weirdness. The dull light fell on a faint thing upon the page where all another equation began from fold itself slowly and to spread it wrong as widely as tale.",679.0,0.0,107.8,56.3,0,0.0
openai/small,lecture_hall,rms,large,2.0,0.3662,0.2093,0.108,6.417,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat. But pieces to be laid out of thick, peppered, flour-fattened sauce. Stuffed into you, his belly comes to him. After early nightfall, the old lampster light up here and there, a squall of order of the brothels. Where's your good and lie? Number 10, fresh and elegant way from you. Connect us, then. The music came nearer and you recall the words, the words of Sheldon's tractant on the moon, wandering and panicked, pale for weariness. The dull light fell by fainting upon the page, where all another equation began to unfold itself slowly and to spread it wrong as wide like tail. A cold, lucid indifference, great in its soul. The chaos in which its monitoring exchange itself is a wholly different knowledge of itself.",742.1,0.0,109.3,52.8,0,0.0
mlx/small,small_office,baseline,small,2.0,0.5455,0.5172,0.2463,1.285,"Now, pretend fresh and healthy on you. Good night.",1232.3,962.8,103.5,67.2,0,0.0
mlx/small,small_office,baseline,medium,2.0,0.5745,0.2914,0.0308,0.623,"The music made me hear and recall the words, the words of Sheldon's tractors on the moon, luring the panelists, payable for your risk. The dull light fell, a faint day upon the page, where all the other equations began to unfold itself slowly and to spread the raw of its white container.",716.9,558.5,104.7,75.8,0,0.0
mlx/small,small_office,baseline,large,2.0,0.6127,0.4015,0.028,1.664,"He hoped there would be super-diner, and turned into some carrot-scented potatoes, and bad-hunt pieces to be laid down and thick, but without that sauce, so did his belly after him. After burning rank all, the old man just lied out here and there, and swallowed a form of the brothels. Oh, very good, good-dry. Now, very tight, fresh, nutty, thick on you. Good-natter-scented. The music made me hear and recall the words. The words of shell-descending thunder, lulling, and panicking, pale for your risk. The dull light fell off a faintly upon the page, whereon none of the information began to unfold itself slowly, and to spread the raw, twilight-painting. A cold, losing difference in rank within itself. The chaos which is harder to change to self is a cold, different knowledge of self.",732.6,898.5,112.5,71.2,0,0.0
mlx/small,small_office,rms,small,2.0,0.2727,0.2931,0.0599,0.312,Number 10 Fresh Nelly Cake on You Good Night,662.9,563.4,110.7,63.9,0,0.0
mlx/small,small_office,rms,medium,2.0,0.5957,0.295,0.0323,0.653,"The music made me hear and recall the words, the words of Sheldon's tractors on the moon, lathering the panacea, paper for your wrist. The dull white felt a pain in the palm of the page, whereon another equation began to unfold itself slowly and to spread it all across wide and thin.",658.7,657.9,100.2,67.2,0,0.0
mlx/small,small_office,rms,large,2.0,0.7183,0.4247,0.0275,1.636,"He hoped there would be soup in there, and turned into some carrot-scented potatoes, and bad-hunt pieces to be laid down and thick, but without that sauce, so did his belly after him. After early rank-all, the old man was light-eyed and hearing there, and swallowed forward with a brothel. Hello, very good to be calling to my name. Now, very tech, fresh and healthy to be on you. Connect us, and the music may be nearer and you can call the words. The words are shut and distracted from the room while you can pat us, pale for your risk. The dull white fellow, a faintly upon a page, whereon love information began to unfold itself slowly, and to spread the raw of his wife and tale. A cold, losing indifference in rank and in size. The chaos which is harder to change to self is a cold, indifference in knowledge of yourself.",672.5,908.2,111.0,70.9,0,0.0
mlx/small,medium_room,baseline,small,2.0,0.6364,0.3276,0.6331,3.302,"Number 2, freshness ay from you Good night Huston",644.4,1387.6,113.0,71.8,0,0.0
mlx/small,medium_room,baseline,medium,2.0,0.617,0.3669,0.0273,0.551,"The music made me regret even calling the words, the words of Shelley's practice on moon and water, and the panelists pale for weird reasons. The dull body felt a faint feeling on the page where all another equation began flowing forth itself slowly and spread all its white container.",628.3,578.1,105.7,72.2,0,0.0
mlx/small,medium_room,baseline,large,2.0,0.7324,0.4382,0.0273,1.625,"He ultimately released the original, turned him into a carrot-scented bruised potato, and in fact, a lot of pieces to be laid out on the thick, ever-floured fat sauce. Stubbity, his belly comes again. After the early nightfall, the apple-landed white-hot beer bear swallows the corner of the raw forest. Hello, Bertie. Good morning. Now, Bertie, fresh and healthy, I've made from you. Can't ask him. The music made me regret even the call to words. The words of Shelley's practice on whom the water had been penniless, pale for fear of risk. The dull body felt a thinking on the page where our own other equation began to bring hope itself slowly and to spread raw its white container. A cold, lucidly diffused brain with itself. The chaos which had harder to change itself was coldly different from knowledge itself.",640.2,1185.5,107.3,73.6,0,0.0
mlx/small,medium_room,rms,small,2.0,0.5455,0.4828,0.0702,0.366,"Number 10, Fresh W.A. from U.K. Good night, gentlemen.",641.4,552.1,113.2,65.0,0,0.0
mlx/small,medium_room,rms,medium,2.0,0.6596,0.3669,0.0292,0.59,"The music made me regret even calling the words, the words of Shelley's practice on moon and water, and the panelists' payable, weird visits. The dull body felt a faint feeling on the page where on another equation began flowing both itself slowly and spread it all its wide contain.",643.5,564.1,104.5,74.2,0,0.0
mlx/small,medium_room,rms,large,2.0,0.7535,0.4174,0.0309,1.835,"He ultimately released the original, turned him into a carrot-scented, bruised potato-tip, and fattin'-fuckin' pieces of relayed, lousy, thick, ever-flout-flat sauce. Stubbity, his belly-combo-man. After the early nightfall, the apple-latch was light-up near the bay, or the squall of the corner of the raw forest. Hello, Bertie. Good-bye. Now, Bertie, fresh-n-l-e-f-a-t from you. Canach-a-scent. The music made me regret even the call to words. The words of Shelley's practice, on whom the water had been penniless, pale for fear of risk. The dull body felt a thinking on the page where on another equation began flowing forth itself slowly, and spread raw, as white on the table. A cold, lucidly differeced, regained itself. The chaos, which had harder to change itself, was coldly differeced in the knowledge of itself.",657.7,1398.8,109.5,76.2,0,0.0
mlx/small,large_office,baseline,small,2.0,1.1818,1.2241,0.5317,2.773,"Number 10, Tr arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba",544.6,575.6,111.9,81.4,0,0.0
mlx/small,large_office,baseline,medium,2.0,0.5319,0.2446,0.0291,0.588,"The music came here and we recall the words, the words of Shelley's practice, on whom the wandering companion dust, paving for weirdness. The dull light fell profanely upon the page where all other information began to unfold itself slowly, and to spread it wrong into a wide and timid way.",547.3,572.2,107.9,75.3,0,0.0
mlx/small,large_office,baseline,large,2.0,0.5282,0.306,0.0278,1.651,"He hoped that when he stewed the burger, turned him some carrots and grooves of potatoes, and fat mutton pieces to be labeled out in thick, ever-thou-fat sauce, studded into his belly-contagion. After early nightfall, the ill-lanned light on the air had swallowed the quarter of the brothels. Hello, where did you get the food in the wine? Number 10, fresh-nelly-flavored onion. Connected with the music, the music came in a red-and-coupled words, the words of Sheldon's frightened convulnerate companion-muscels, paving for weirdness. The dull-light fell profanity upon the page where our other innovation began to unfold itself slowly, and to spread it wrong as wide and fatally. A cold, lucidly diffrence reigned in his soul. The chaos in which his armor extinguished itself was a cold, different knowledge of itself.",554.9,1311.4,109.8,77.0,0,0.0
mlx/small,large_office,rms,small,2.0,1.2727,1.3793,0.5699,2.972,"Number 10, Tr arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba arriba Good night.",419.6,1338.6,112.7,84.8,0,0.0
mlx/small,large_office,rms,medium,2.0,0.5319,0.2446,0.0296,0.598,"The music came here and we recall the words, the words of Shelley's practice, on whom the wandering companion dust, paving for weirdness. The dull light fell profanely upon the page where all other information began to unfold itself slowly, and to spread it wrong into a wide and timid way.",422.4,560.1,112.0,77.9,0,0.0
mlx/small,large_office,rms,large,2.0,0.5282,0.3084,0.0286,1.7,"He hoped that when he stewed the burger, turned him some carrots and grooves of potatoes, and fat mutton pieces to be labeled out in thick, ever-thou-fat sauce, studded into his belly-contagion. After early nightfall, the ill-lanned light on the air had swallowed the quarter of the brothels. Where did he go in the light? Number 10, fresh-nilly-fake-un-yew, Connected with the night, the music came in a red-and-coupled words, the words of Sheldon's frightened convulnerate companion-muscels, paving for weirdness. The dull-light fell profanity upon the page where our own other innovation began to unfold itself slowly, and to spread it wrong as wide and fatally. A cold, lucidly diffrence reigned in his soul. The chaos in which his armor extinguished itself was a cold, different knowledge of itself.",434.2,659.1,108.3,75.9,0,0.0
mlx/small,lecture_hall,baseline,small,2.0,0.1818,0.1379,0.0684,0.357,"Number 10 Fresh Nelly is waiting for you. Good night, Josef.",434.7,558.1,110.6,63.8,0,0.0
mlx/small,lecture_hall,baseline,medium,2.0,0.4894,0.223,0.0293,0.592,"The music came nearer and he recalled the words, the words of Shelby Stratford on the moon, wandering, and endless, pitiful weirdness. The dull light fell on a faint thing upon the page where all another equation began from fold itself slowly and to spread it wrong as wide as a tale.",437.7,562.5,106.6,75.5,0,0.0
mlx/small,lecture_hall,baseline,large,2.0,0.3873,0.2191,0.0274,1.629,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat. But pieces to be laid out of thick, peppered, flour-fattened sauce. Stucked into you, his belly comes to him. After early nightfall, the old lamp's light up near there, a squall of order of the brothels. Where's your good and lie? Number 10, fresh and elegant way from you. Connect us, then. The music came nearer, and you recall the words. The words of Sheldon's tractant on the moon, wandering and panicked, pale for weariness. The dull light fell for a faint thing upon the page, where all another equation began to unfold itself slowly, and to spread it wrong as wide like tail. A cold, lucid indifference, great in its soul. The chaos in which his monitoring exchange itself is a wholly different knowledge of itself.",437.7,1228.2,109.7,77.6,0,0.0
mlx/small,lecture_hall,rms,small,2.0,0.1818,0.1379,0.0673,0.351,"Number 10 Fresh Nelly is waiting for you. Good night, Josef.",429.7,566.3,108.2,62.6,0,0.0
mlx/small,lecture_hall,rms,medium,2.0,0.4681,0.223,0.0341,0.688,"The music came nearer and he recalled the words, the words of Shelby Stratford on the moon, wandering, and endless, pitiful weirdness. The dull light fell on a faint thing upon the page where all another equation began from fold itself slowly and to spread it wrong as widely as tale.",431.8,565.7,106.4,70.4,0,0.0
mlx/small,lecture_hall,rms,large,2.0,0.3662,0.2093,0.0295,1.755,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat. But pieces to be laid out of thick, peppered, flour-fattened sauce. Stuffed into you, his belly comes to him. After early nightfall, the old lampster light up here and there, a squall of order of the brothels. Where's your good and lie? Number 10, fresh and elegant way from you. Connect us, then. The music came nearer and you recall the words, the words of Sheldon's tractant on the moon, wandering and panicked, pale for weariness. The dull light fell by fainting upon the page, where all another equation began to unfold itself slowly and to spread it wrong as wide like tail. A cold, lucid indifference, great in its soul. The chaos in which its monitoring exchange itself is a wholly different knowledge of itself.",412.6,1058.3,107.4,72.6,0,0.0
faster/small-int8,small_office,baseline,small,2.0,0.5455,0.5172,0.4316,2.251,Now pretend fresh and healthy on you. Good night.,1199.8,484.0,682.5,376.6,0,0.0
faster/small-int8,small_office,baseline,medium,2.0,0.6383,0.3058,0.1717,3.466,"The music made me hear and recall the words, the words that shuddered the trackers on the moon while they compared us, payable for your risk. The dull light felt a pain be upon the page where all the other equations began to unfold itself slowly and to spread the raw of its widening tale.",1194.2,484.0,796.5,408.2,0,0.0
faster/small-int8,small_office,baseline,large,2.0,0.669,0.4186,0.1585,9.416,"He hoped there would be a super dinner, and turned into some carrot sandwiches, potatoes, and bad, hungry pieces to be laid out on a thick, buttery, fowl fat sauce. So did he, with his belly up to him. After burning the rancor, the old man stood right out of here and there, and swallowed forward with a brothel. Hello, very good to be calling to my name, not very tech, fresh, nutty cake on you. Connect with me, the music made me hear and recall the words. The words have shuddered the trackers from the room, while they compared us. Payable for your risk. The dull light fell upon a page where online information began to unfold itself slowly, and to spread the raw, twilight tale. A cold losing the difference in rancor itself. The chaos which has harder changed itself has a cold new different knowledge of itself.",1431.6,484.0,647.9,410.9,0,0.0
faster/small-int8,small_office,rms,small,2.0,0.5455,0.5172,0.4116,2.146,Now pretend fresh and healthy on you. Good night.,1532.2,484.0,514.1,370.0,0,0.0
faster/small-int8,small_office,rms,medium,2.0,0.5319,0.3165,0.1593,3.216,"The music came nearer and it recalled the words, the words of Sheldon's tractors on the moon while he had us payable for your risk. The dull white felt a pain deep on the page where online information began to unfold itself slowly and to spread it all on its white container.",1466.0,484.0,771.8,420.1,0,0.0
faster/small-int8,small_office,rms,large,2.0,0.6338,0.3782,0.1562,9.28,"He hoped there would be soup for dinner, and turned into some carrot sandwiches, potatoes, and fat-cutting pieces to be laid down and thick, peppered with fowl fat and sauce. Stubborn is he, with his belly cut to death. After early rank-all, the old man should lie down here and there, and swallow the form of the brothels. A very good night, not very dead, fresh and healthy faith on you. Connected, the music became nearer and could call the words. The words had shuddered the trackers from the room, laughing and panicked us. Payable for your risk. The dull light felt a pain deep on the page, where online information began to unfold itself slowly, and to spread it all on its white container. A cold, losing difference in rank within itself. The chaos, which is harder, changed itself as a cold, deep, different knowledge of itself.",1602.3,484.0,727.8,419.1,0,0.0
faster/small-int8,medium_room,baseline,small,2.0,0.7273,0.569,1.2441,6.488,"Number of death, freshly done with faith from you, good night, gentlemen.",2029.3,484.0,793.7,428.1,0,0.0
faster/small-int8,medium_room,baseline,medium,2.0,0.5319,0.3165,0.1585,3.201,"The music came nearer as you would call the words, the words of Shelley's practice on moon and water, and the panelists pale for weird reasons. The dull light fell off thinking on the page where on another equation began flowing both itself slowly and spread all its white container.",1809.9,484.0,759.3,414.7,0,0.0
faster/small-int8,medium_room,baseline,large,2.0,0.6127,0.3647,0.1716,10.198,"He ultimately, with his two-prisoner, turned him into some carrots and bruised potatoes, and fathomantly ceased to be laid out on the thick, ever-flouted-backed stalk, studded into his belly-and-crumpled head. After the early nightfall, the apple-land should light up near there, and swallow the corner of the brothels. Hello, Bertie. Good to come on in. Now, Bertie, fresh and healthy to take from you. Good afternoon. The music came nearer, as you recall the words. The words of Shelley's practice on whom the body had been penniless, pale, and furious. The dull body felt the thinking on the page, where on another equation began flowing forth itself slowly, and to spread it all its white on the table. A cold, lucid, indifference grained in itself. The chaos of which its partner changed itself with coldly different knowledge of itself.",1783.4,484.0,708.4,411.2,0,0.0
faster/small-int8,medium_room,rms,small,2.0,0.9091,0.6034,0.442,2.305,"Number of death, freshly done and paid from you, goodnight, gentlemen.",1599.1,484.0,729.6,391.9,0,0.0
faster/small-int8,medium_room,rms,medium,2.0,0.6383,0.3597,0.173,3.492,"The music became nearer as you would call the words, the words of Shelley's practice on moon and water, and the panelists pale for weird reasons. The dull body felt a thinking on the page where on another equation began flowing forth itself slowly and spread it all as white container.",1556.0,484.0,626.1,400.3,0,0.0
faster/small-int8,medium_room,rms,large,2.0,0.6549,0.3794,0.1771,10.524,"He, hopefully, will be a student with him, turn him into a carrot and a group of potatoes and a bag of pumpkin pieces to be laid out on a thick, ever-flour-flavoured sauce. Stubbity, his belly comes to him. After the early nightfall, the Edelmansch was wiped out of their pair and swallowed the corner of the brothels. Hello, Bertie. Good morning. Now, Bertie, fresh jelly is made from you. Canachocene, the music made nearer than you would call the words. The words of Shelley's practice on loom, water, and panellists, pale for fear of risk. The dull body felt a thinking on the page where on another equation began to unfold itself slowly and to spread it all its white container. A cold, lucidly diffused grain in itself. The chaos of which is harder to change itself with coldly different knowledge of itself.",1576.2,484.0,667.3,400.7,0,0.0
faster/small-int8,large_office,baseline,small,2.0,0.3636,0.2586,0.4828,2.518,"Number 10, fresh Nellie is waiting for you. Good night, Mr. Nellie.",1573.1,484.0,723.0,399.1,0,0.0
faster/small-int8,large_office,baseline,medium,2.0,0.5319,0.2554,0.1766,3.565,"The music came here, and you recall the words, the words of Shelley's fragment from whom the wandering companion dust paved the way for weirdness. The dull light fell profanely upon the page where all the other information began to unfold itself slowly, and to spread it wrong was why it came.",1610.5,484.0,743.6,394.4,0,0.0
faster/small-int8,large_office,baseline,large,2.0,0.507,0.2729,0.1498,8.904,"He hoped it would be stupid to turn him into some carrots and bruise potatoes and fat mutton pieces to be labeled out in a fit, ever fowl-fat sauce. Stubbity, his belly caught him, and early nightfall, the ill-landed light on the air swelled forth from the brothels. Hello, where did you get the food in your mind? Number 10, Fresh Nelly, is waiting for you. Connect with me. The music may never end, but recall the words, the words of Shelley's fragment, from whom the wandering companion must pale for weirdness. The dull light fell profanely upon the page where our other information began to unfold itself slowly, and to spread it wrong twice a day. A cold, lucidly difference rang in itself. The chaos in which his armor extinguished itself was a coldly different knowledge of itself.",1599.6,484.0,628.4,412.1,0,0.0
faster/small-int8,large_office,rms,small,2.0,0.2727,0.2069,0.4548,2.372,"Number 10, Fresh Nelly is waiting for you. Good night, Mr. Nelly.",1606.2,484.0,748.1,404.0,0,0.0
faster/small-int8,large_office,rms,medium,2.0,0.5319,0.2482,0.1632,3.294,"The music came here, and you recall the words, the words of Shelley's fragment from whom the wandering companion dust paved the way for weirdness. The dull light fell profanely upon the page where all the other information began to unfold itself slowly, and to spread it wrong into a winding tale.",1568.8,484.0,682.1,406.8,0,0.0
faster/small-int8,large_office,rms,large,2.0,0.5423,0.3244,0.1574,9.352,"He hoped it would be stupid to turn him into some carrots and bruise potatoes and fat mutton pieces to be labeled out in a fit, ever-foul-fat sauce. Stubbity, his belly caught him. After ruining my thought, the ill-landed light on the air swallowed forth from the brothels. Where did he go to lie? Number 10, Fresh Nelly is waiting on you. Connect with me. The music made me regret to recall the words, the words of Sheldon Strachman, from whom the wandering companion was pale for weirdness. The dull light fell authentically upon the page where all the other information began to unfold itself slowly, and to spread it wrong into my head. A cold, lucidly different rank itself. The chaos in which his armor extinguished itself was a cold, different knowledge of itself.",1598.6,484.0,700.2,411.7,0,0.0
faster/small-int8,lecture_hall,baseline,small,2.0,0.2727,0.1724,0.4454,2.323,"Number 10 Fresh Nellie is waiting for you. Good night, Josef.",1602.3,484.0,769.5,399.6,0,0.0
faster/small-int8,lecture_hall,baseline,medium,2.0,0.5319,0.241,0.1723,3.48,"The music came nearer as you recall the words, the words of Shelby Stratford on the moon wandering in the endless, pitiful weirdness. The dull light fell while fainting upon the page where all another equation began from fold itself slowly and to spread it wrong as wide as a tale.",1587.1,484.0,750.7,413.6,0,0.0
faster/small-int8,lecture_hall,baseline,large,2.0,0.3944,0.224,0.1633,9.704,"He hoped there would be soup for dinner, turnips and carrots and bruised potatoes and fat, but pieces to be laid out of thick, peppered, flour-fattened sauce. Stuffed into you, his belly comes to him. After early nightfall, the old lamps would light up near there, the squall of the order of the brothels. Where's the good in life? Number ten, fresh and elegant way from you. Connect us then, the music came nearer and you would call the words, the words of Shelley's fragment on the moon, wandering and hand-less, paid-off of weirdness. The dull light fell though a faint thing upon the page, where all another equation began to unfold itself slowly, and to spread it wrong in its wider tail. A cold, lucid indifference, great in its soul. The chaos in which his monitoring exchange itself is a wholly different knowledge of itself.",1611.4,484.0,691.4,411.3,0,0.0
faster/small-int8,lecture_hall,rms,small,2.0,0.2727,0.1724,0.4365,2.276,"Number 10, Fresh Nellie is waiting for you. Good night, Josef.",1555.5,484.0,752.3,394.8,0,0.0
faster/small-int8,lecture_hall,rms,medium,2.0,0.5319,0.2338,0.1643,3.318,"The music came nearer as we recall the words, the words of Shelby Stratford on the moon wandering in the endless, pitiful weirdness. The dull light fell while fainting upon the page where all another equation began from fold itself slowly and to spread it wrong as wide as a tale.",1513.2,484.0,770.2,415.9,0,0.0
